"","Title","Year","IMDb","Rotten.Tomatoes","provider","has_movie"
"385","The Babysitter",2017,6.3,71,"Netflix",1
"386","Extremely Wicked, Shockingly Evil and Vile",2019,6.6,55,"Netflix",1
"387","Heneral Luna",2015,7.6,71,"Netflix",1
"388","Click",2006,6.4,33,"Netflix",1
"389","The Duchess",2008,6.9,62,"Netflix",1
"390","The Last Man on the Moon",2016,7.4,94,"Netflix",1
"391","The 24 Hour War",2016,7.2,100,"Netflix",1
"392","Mune: Guardian of the Moon",2015,7.2,80,"Netflix",1
"393","The Devil We Know",2018,7.7,100,"Netflix",1
"394","How the Grinch Stole Christmas",2000,6.2,50,"Netflix",1
"395","LA Originals",2020,7.3,83,"Netflix",1
"396","Whisky",2004,7.1,100,"Netflix",1
"397","The Sapphires",2012,7,91,"Netflix",1
"398","Bloodsport",1988,6.8,40,"Netflix",1
"399","Tinker Bell and the Legend of the NeverBeast",2014,7.3,75,"Netflix",1
"400","Get Me Roger Stone",2017,7.4,88,"Netflix",1
"401","Alex Strangelove",2018,6.3,86,"Netflix",1
"402","She's Out of My League",2010,6.4,58,"Netflix",1
"403","Sarah's Key",2010,7.5,72,"Netflix",1
"404","My Happy Family",2017,7.4,100,"Netflix",1
"405","Killing Them Softly",2012,6.2,73,"Netflix",1
"406","Ittefaq",2017,7.2,89,"Netflix",1
"407","6 Underground",2019,6.1,36,"Netflix",1
"408","The Accountant of Auschwitz",2018,7.3,100,"Netflix",1
"409","Echo in the Canyon",2019,7,92,"Netflix",1
"410","Hold the Dark",2018,5.6,73,"Netflix",1
"411","Suffragette",2015,6.9,73,"Netflix",1
"412","The Siege of Jadotville",2016,7.2,60,"Netflix",1
"413","Terminator Salvation",2009,6.5,33,"Netflix",1
"414","Hotel Transylvania 3: Summer Vacation",2018,6.3,62,"Netflix",1
"415","Filmworker",2018,7.4,95,"Netflix",1
"416","Our Souls at Night",2017,6.9,90,"Netflix",1
"417","Mine 9",2019,6.7,88,"Netflix",1
